,Country,Year,Production,Consumption
404,Malaysia,2004,49.82,44.47334066792118
405,Malaysia,2005,50.28,45.138571226990756
406,Malaysia,2006,52.0,46.64195514230071
407,Malaysia,2007,51.36,46.18375712338771
408,Malaysia,2008,49.6,44.450539793848115
409,Malaysia,2009,52.61,46.87173502640182
410,Malaysia,2010,53.83,51.35439819342452
411,Malaysia,2011,54.04,51.87840116025746
412,Malaysia,2012,54.05,52.12952683383671
413,Malaysia,2013,56.25,53.038533030469296
414,Mexico,1991,38.56,26.550442733804175
415,Mexico,1992,39.83,27.12918846534892
416,Mexico,1993,40.99,27.451398368204647
417,Mexico,1994,43.8,30.208498007365122
418,Mexico,1995,43.26000000000001,29.536223669586548
419,Mexico,1996,41.6,30.297027145445284
420,Mexico,1997,44.83,32.52719925033048
421,Mexico,1998,48.59,35.35357608278746
422,Mexico,1999,50.38,36.382843302459996
423,Mexico,2000,53.040000000000006,37.734461829401994
424,Mexico,2001,54.79,39.14325758636599
425,Mexico,2002,56.5,41.5538469583997
426,Mexico,2003,55.99,42.74870003500286
427,Mexico,2004,57.02,42.536923361553626
428,Mexico,2005,58.69,43.90799207667137
429,Mexico,2006,59.62000000000001,43.41993860294336
430,Mexico,2007,59.92999999999999,44.201744357711156
431,Mexico,2008,60.92,45.192918780020506
432,Mexico,2009,61.41,45.50873952287604
433,Mexico,2010,61.36,45.125680868190486
434,Mexico,2011,60.96,44.17242054287146
435,Mexico,2012,61.26000000000001,44.945218859362775
436,Mexico,2013,62.22,46.18905580312288
437,Mozambique,1991,4.94,4.269725980969176
438,Mozambique,1992,4.91,4.074911345333246
439,Mozambique,1993,4.83,4.024125805028197
440,Mozambique,1994,5.04,4.099441062235611
441,Mozambique,1995,11.23,3.957745505275525
442,Mozambique,1996,11.19,3.9985911699504815
443,Mozambique,1997,11.11,4.045540482074803
444,Mozambique,1998,11.22,4.195784812714169
445,Mozambique,1999,10.85,3.860680193112774
446,Mozambique,2000,10.94,8.599176327462931
447,Mozambique,2001,10.34,8.233133039171241
448,Mozambique,2002,10.32,8.153510929921971
449,Mozambique,2003,8.51,6.653787289560183
450,Mozambique,2004,9.09,7.042775089216288
451,Mozambique,2005,9.66,7.518455337043022
452,Mozambique,2006,7.700000000000001,5.981269545392226
453,Mozambique,2007,8.389999999999999,6.382034773368442
454,Mozambique,2008,8.799999999999997,6.106579424019361
455,Mozambique,2009,7.97,6.2111459792682675
456,Mozambique,2010,7.880000000000001,6.1238100015377315
457,Mozambique,2011,8.23,6.437243273752318
458,Mozambique,2012,8.21,6.827827223716843
459,Mozambique,2013,8.5,7.156032490049938
460,New Zealand,1991,97.95,79.25483799350211
461,New Zealand,1992,93.5,80.9948249828999
462,New Zealand,1993,105.01,74.0367401991212
463,New Zealand,1994,89.65,90.94513463240379
464,New Zealand,1995,122.48999999999998,92.9396219365822
465,New Zealand,1996,108.55,78.31462363471029
466,New Zealand,1997,107.66,84.18153197959789
467,New Zealand,1998,99.38,83.4743077056459
468,New Zealand,1999,107.66,82.47073677920909
469,New Zealand,2000,92.48,86.7044965190197
470,New Zealand,2001,100.9,87.75381708734068
471,New Zealand,2002,104.65,79.25044620696491
472,New Zealand,2003,107.57,92.39010888021228
473,New Zealand,2004,109.17,81.0432151347747
474,New Zealand,2005,102.94,85.6723896780202
475,New Zealand,2006,109.14,84.6790397229455
476,New Zealand,2007,115.92,85.08322811999491
477,New Zealand,2008,116.66,84.01978642430011
478,New Zealand,2009,104.39,66.95684664294211
479,New Zealand,2010,96.32,65.92454602829184
480,New Zealand,2011,126.18,73.20889865751826
481,New Zealand,2012,100.92,75.24639895339371
482,New Zealand,2013,101.41,67.00666257914808
483,Nigeria,1991,7.58,5.326580581174947
484,Nigeria,1992,7.51,5.269182203119401
485,Nigeria,1993,7.949999999999998,5.492651177094326
486,Nigeria,1994,8.34,5.766072650926787
487,Nigeria,1995,8.459999999999999,5.854010179588027
488,Nigeria,1996,8.629999999999999,5.96754453866404
489,Nigeria,1997,8.92,6.195391008821666
490,Nigeria,1998,8.95,6.245213852493937
491,Nigeria,1999,9.0,6.33133496731058
492,Nigeria,2000,8.57,6.18034075128307
493,Nigeria,2001,9.19,6.85014015004887
494,Nigeria,2002,9.65,7.092196386619411
495,Nigeria,2003,9.07,6.52760853174968
496,Nigeria,2004,9.15,6.6008827837179895
497,Nigeria,2005,8.989999999999998,6.48142378159935
498,Nigeria,2006,8.370000000000001,6.2763919203176215
499,Nigeria,2007,8.959999999999997,6.6030818368699205
500,Nigeria,2008,9.03,6.62194684231312
501,Nigeria,2009,9.28,6.6371946548335305
502,Nigeria,2010,9.42,6.123014533377949
503,Nigeria,2011,9.46,4.360854113865445
504,Nigeria,2012,9.28,4.960045268556182
505,Nigeria,2013,9.2,6.06053171305614
506,Pakistan,1991,12.11,9.764775424280336
507,Pakistan,1992,12.57,10.150141231669851
508,Pakistan,1993,13.67,11.13333686911459
509,Pakistan,1994,14.24,11.620966701523594
510,Pakistan,1995,14.65,11.985179987724278
511,Pakistan,1996,11.72,9.551650887665764
512,Pakistan,1997,12.48,10.134448969150613
513,Pakistan,1998,11.63,9.378725524506242
514,Pakistan,1999,11.76,9.503683353713171
515,Pakistan,2000,11.79,9.51591614756664
